"document","topic","gamma"
1,1,0.504307464930128
2,1,0.508522371203113
3,1,0.500361998200713
4,1,0.505104558413167
5,1,0.5023340368388
6,2,0.502511409324003
7,1,0.508522371203113
8,1,0.501823172311785
9,1,0.506026155926417
10,1,0.506240456598423
11,2,0.501816078815689
12,2,0.503088124388431
13,2,0.507036626744498
14,2,0.503550376685959
15,2,0.502598197196328
16,2,0.503835447666362
17,2,0.502088561027631
18,1,0.509067258325561
19,2,0.501864577317597
20,1,0.501430708075035
21,2,0.503173231987193
22,2,0.508979842054527
23,1,0.501938070164989
24,2,0.507013341403595
25,2,0.506776566153378
26,1,0.500943229591597
27,2,0.504336473435284
28,2,0.50354486796794
29,2,0.504578849768406
30,2,0.500128981656717
31,1,0.505009426068344
32,2,0.502739686775058
33,1,0.507074138125764
34,2,0.500952241677617
35,1,0.502703104711075
36,2,0.504257782652042
37,1,0.501278704726715
38,2,0.501533319195728
39,1,0.501936620890971
40,1,0.503799711754448
41,2,0.503550376685959
42,1,0.503134962772271
43,2,0.507036626744498
44,1,0.507270579471612
45,1,0.502207774898184
46,1,0.502516768627432
47,2,0.506037956582831
48,1,0.502045957845515
49,1,0.50129071815176
50,1,0.500565122413035
51,2,0.500141022846548
52,2,0.50075672673054
53,1,0.504019419080371
54,1,0.504224220250267
55,2,0.503085600620209
56,2,0.505093534434077
57,2,0.501615247538761
59,2,0.503926885205095
60,1,0.504307464930128
61,1,0.501225595985047
62,1,0.502166692720325
63,1,0.504307464930128
64,2,0.504578849768406
65,1,0.507161940298561
66,2,0.502616672971261
67,2,0.501965386682548
68,1,0.503883791401176
69,2,0.500013477859581
70,1,0.502232288896004
71,2,0.50865001711254
72,2,0.500465816776882
73,2,0.500583689083055
74,2,0.501205735099674
75,2,0.502784989013045
76,1,0.503016620993107
77,2,0.501815261030041
78,2,0.507592086546729
79,2,0.503550376685959
80,1,0.502045957845515
81,1,0.509286060377129
82,2,0.508760136146829
83,2,0.507036626744498
84,2,0.50139040381928
85,1,0.504307464930128
86,2,0.504578849768406
87,2,0.506968115168612
88,2,0.500013477859581
89,2,0.507076306884148
90,1,0.501430708075035
91,1,0.502045957845515
92,1,0.505621077665803
93,2,0.502156012754334
94,2,0.507036626744498
95,2,0.50139040381928
96,1,0.501561177422557
97,1,0.508522371203113
98,1,0.500361998200713
99,2,0.502743404365516
100,1,0.503625865570183
101,1,0.50390247254829
103,2,0.5017571223141
104,1,0.505382419769423
105,1,0.507571055867874
